epoch,lr,train_dice_mean,train_iou_mean,train_dice_Fish,train_iou_Fish,train_dice_Flower,train_iou_Flower,train_dice_Gravel,train_iou_Gravel,train_dice_Sugar,train_iou_Sugar,train_loss,val_dice_mean,val_iou_mean,val_dice_Fish,val_iou_Fish,val_dice_Flower,val_iou_Flower,val_dice_Gravel,val_iou_Gravel,val_dice_Sugar,val_iou_Sugar,val_loss
1,0.00012319228589981489,0.07514287231920622,0.048849060065463544,0.034263754557965966,0.02425908045976065,0.05705822138097499,0.03797007637132714,0.018598557432670804,0.017444693621936066,0.1906509558214855,0.11572238943810996,0.8272172494231311,0.16193439515657068,0.12263007707586755,0.07913669065064173,0.07913669065064173,0.16304946649170307,0.13998706645618403,0.025179856117073397,0.025179856117073397,0.38037156797409566,0.24621669543411315,0.8076333984625426
2,0.00028318940287893387,0.16616492258447402,0.11267227138735017,0.04964195971808053,0.04961812222712641,0.25882012449648995,0.1741238307740387,0.03966427265279829,0.02492930071132845,0.3165333329588945,0.20201783294868303,0.7717672825074604,0.2218421243881579,0.15408381620730213,0.053974611357202,0.05396572469427913,0.16252682877692218,0.13751717283283132,0.3209775006608023,0.20352621939077664,0.34988955929607446,0.22132614548418666,0.8525728437540342
3,0.0004650981393870562,0.18296895887890816,0.11843333131290647,0.015147154767616956,0.012589569022999748,0.2760355729960527,0.18613849705636196,0.1308144715595936,0.07866259836338889,0.3098786359048694,0.1963426611132529,0.7648254385179394,0.09638653101753955,0.06764261493089961,0.02579080411355447,0.01589467045826663,0.326698875522183,0.22260564367191982,0.02518191769680129,0.025180887194367615,0.007874526600052329,0.006889257748635139,0.8834687520702966
4,0.0005837686518308831,0.18628370686364087,0.12095380693672408,0.019840691448842093,0.016397558496836186,0.2848804398716895,0.1921949527485318,0.12017271786080519,0.07170020778912092,0.3202409786210335,0.2035225076088206,0.7633896403961938,0.21797519738223817,0.14869541630350927,0.040858695119971325,0.021837786080852024,0.2521515088855585,0.19669719006642386,0.22773010030898688,0.14704998105164466,0.3511604841666714,0.22919670808553647,0.7514378962328108
5,0.0005994292306455559,0.19568942621217184,0.12742661632564065,0.023945180030464502,0.020238973419361272,0.2876531998276244,0.19217750418603524,0.1341768053061889,0.08164518289663317,0.33698252063258544,0.2156448041588709,0.7589480907020535,0.22180598483984743,0.1584002749357607,0.05779712247822797,0.05767591752062513,0.11228368097214529,0.10891879636749699,0.325003884710455,0.21015484859540165,0.39213924869302436,0.25685153696490626,0.8355362498931748
6,0.0005948883613184062,0.2024036594704331,0.13106596235337442,0.013124898230826923,0.007028992384606075,0.291920357068907,0.19665033776725244,0.166736053346938,0.10342367195955139,0.337833329466891,0.2171608467367172,0.7566055792532492,0.23436911652038853,0.165347734503046,0.0719455883191717,0.0719440177774762,0.2931229670487023,0.20749089854562222,0.16589175528235536,0.11371870614946938,0.40651615400189484,0.26823731610994267,0.7601937154214159
7,0.0005858795588734117,0.21992031264818393,0.14410109179576472,0.016864003103691856,0.0122618175648224,0.30225856012360397,0.2038185802419145,0.21716190633049576,0.13935842894854406,0.34339678124508444,0.22096554074378302,0.752917762970043,0.23852727358504164,0.16595216235480933,0.03887660657277906,0.0210497621040182,0.1611007892754028,0.1431254826994578,0.3511507008987371,0.2325102670143958,0.40298099427241935,0.26712313606492344,0.7817972066591112
8,0.0005725393875725712,0.23465727545393208,0.15385207321937386,0.021507943791822057,0.012369906417068395,0.32526213628726625,0.22232251677830706,0.2510257593137398,0.1623500450346152,0.34083326366308675,0.21836582471574625,0.7471083814867775,0.2378664511999638,0.16365407492375847,0.070093022379201,0.041443672774979616,0.14684761930106952,0.12788968726753308,0.34287043636911035,0.22610043928057358,0.3916547251655271,0.2591824997235737,0.7852578619830042
9,0.0005550700708145832,0.249443868745731,0.164076373851772,0.05028878813904364,0.027830073398990306,0.33242878681195714,0.22876086644555424,0.2595865966736901,0.16906253966865123,0.3554713036653604,0.23065201683242084,0.7415460818946845,0.2813328138733511,0.18882082316944068,0.09190936509563216,0.054167981170386806,0.38958429105784864,0.27421949231349657,0.3261660873266065,0.21881710306146354,0.3176715171399404,0.208078717029804,0.7463530289183418
10,0.0005337364256342582,0.25778477803389965,0.1698393135896747,0.06068731703797789,0.03367983343617499,0.3258266364808573,0.2237489964302546,0.28624383546552296,0.18863241302511702,0.3583813226248688,0.23329601278441733,0.737801776585867,0.21222868574139991,0.14779903293376212,0.07224411575718477,0.07209459435548543,0.3554688993523493,0.24271048924476835,0.0725880403600927,0.04937075919089494,0.34861368782723595,0.2270202900627003,0.7771399692236949
11,0.0005088618483462092,0.2753019578674282,0.18131530733495224,0.10268345337154645,0.05853718824968576,0.3413717551798949,0.2370572969691149,0.28685636094214884,0.18774010199134786,0.3702962617102316,0.2419266404262341,0.7321291261691032,0.2397204381790642,0.16665276724972056,0.04238421562758956,0.04103365722139739,0.3972901298238767,0.2794442481825713,0.19118761895887018,0.1307960715520606,0.3280197828811644,0.21533709354325953,0.7384247048724469
12,0.00048082341218637527,0.2952250683221654,0.19423483845394027,0.1598359089958954,0.09384219336120804,0.3513087371836448,0.24516054112564675,0.29542039449846463,0.19350259026115896,0.374335233909741,0.24443403018688048,0.7282460362014737,0.3214454752855378,0.22170290302002815,0.18802508013987834,0.1201172449719985,0.4022460412662617,0.29960419906372077,0.341926029416858,0.23443548948006504,0.3535847540590508,0.23265467970733736,0.7210907241423353
13,0.00045004615126613136,0.3050525924938288,0.20079874647806448,0.19333837004545243,0.11536417014067571,0.35046184422687987,0.24365105290398337,0.29817681482874203,0.19677226444367532,0.3782333408696889,0.24740749857143418,0.7232243108577402,0.2767579542613662,0.18553125997670264,0.27501830445709574,0.17567847946027493,0.3929028617201348,0.2706412699810114,0.2346820452819595,0.16606201957287026,0.20442860716588163,0.1297432700519449,0.7664317636609935
14,0.00041699661748841597,0.32012432274501856,0.21298320382846916,0.23008510253422695,0.14154216995220456,0.3651874066649516,0.2564318517246811,0.2974796288126099,0.19828707673912133,0.38774515344688437,0.25567171447619363,0.7183607061023214,0.30956841092020704,0.2119517542636223,0.30056068830808064,0.19188456470778764,0.39180594312522854,0.28622787465394933,0.1990734337993908,0.14064242793909795,0.3468335816352136,0.2290521493097849,0.7227762347931485
15,0.0003821758080964597,0.3278360718187714,0.21887979610773547,0.24576826213603858,0.15306118577718397,0.37488580173866676,0.2646765302069272,0.30222178349763207,0.20257750113334896,0.38846843931489256,0.2552039672035102,0.7135488057158034,0.34646182692201016,0.23881467311180754,0.2723343244695442,0.174021013948779,0.38951386245520103,0.2902766607590694,0.3161533934815974,0.21836709377399818,0.40784573094238263,0.2725939255881881,0.7081289705183866
16,0.0003461115710662658,0.3333857456126441,0.22292820657154158,0.2546880713622425,0.1591921065579877,0.3714952391331543,0.26086907697965445,0.31369219189733316,0.2115274771565371,0.3936674817093091,0.2601241666962725,0.710035423796063,0.35435497236820007,0.24456850127082505,0.24846507558656017,0.15903885453549574,0.40792372753764256,0.30392622313004286,0.35635639653052664,0.24511575907667288,0.40467469105168025,0.2701931718438155,0.7111745678263602
17,0.00030935060346935317,0.3354219465648354,0.22493131590605694,0.2506455139663323,0.1565415179454992,0.37560469370703803,0.26588315320247174,0.3146081810316828,0.2123206104037003,0.40082939899077735,0.26497998209204987,0.7083161377068357,0.33681004242502527,0.23309715318647647,0.18539416064387204,0.1185213421654621,0.37536222669264346,0.2858004231077703,0.36669134816889376,0.2469466478150498,0.4197924330030428,0.2811201991942705,0.7360035496221172
