epoch,lr,train_dice_mean,train_iou_mean,train_dice_Fish,train_iou_Fish,train_dice_Flower,train_iou_Flower,train_dice_Gravel,train_iou_Gravel,train_dice_Sugar,train_iou_Sugar,train_loss,val_dice_mean,val_iou_mean,val_dice_Fish,val_iou_Fish,val_dice_Flower,val_iou_Flower,val_dice_Gravel,val_iou_Gravel,val_dice_Sugar,val_iou_Sugar,val_loss
1,0.00020536090239104733,0.3297459251977302,0.21211558656918036,0.1344262075947592,0.07638234639556873,0.3725034614722957,0.24045952728547582,0.34462777889998253,0.2174745478892066,0.4674262549694594,0.31414592383546874,0.7910578918886614,0.396452194709572,0.2692529257896135,0.09688866664761495,0.05163872785697542,0.5145806208682331,0.3589762654022102,0.4295741093994902,0.28397947619501634,0.544765384934789,0.3824172298685252,0.7174819622108405
2,0.00047210618844127476,0.3737330480201824,0.24947030810085502,0.11071166717101205,0.06195026707081579,0.46201650898082325,0.31454374224875614,0.4041752038674605,0.2634664960708997,0.5180288138556051,0.3579207275029238,0.6948807167577314,0.46079051065787996,0.3138435485122873,0.3260000567856503,0.20029579172675208,0.5358929114162146,0.37980321748857304,0.4278427345021594,0.2837604944922512,0.5534263291804911,0.3915146911422983,0.6484970604773048
3,0.0007753268623870819,0.4275282938738127,0.28621409637433987,0.27428583178404264,0.16484905883672343,0.48864508158766917,0.3380126630957706,0.42447741087358637,0.28059524123867713,0.5227048466065982,0.3613994226262376,0.6641745696196685,0.44726402446520414,0.30242778618129895,0.29829782748716244,0.18126059686698834,0.5256222323548138,0.3698837437914974,0.4309546150427928,0.2869619499061176,0.5341814175355348,0.37160485409360994,0.6518859310115842
4,0.0009730335738704613,0.44019017128257065,0.2965496715930131,0.29468356323688877,0.17856824173684657,0.5066708048856026,0.35465568223515953,0.4254952818377651,0.28071643111656974,0.533911034585657,0.3722583297170236,0.6527311710624008,0.3664189297303879,0.24225826003997447,0.27000188922657975,0.1628555242255392,0.20492226766017593,0.12825439201349176,0.4762887876454017,0.32294667589900306,0.5144627807166079,0.35497644800934003,0.7248659884329323
5,0.0009990452969733088,0.45231909107517554,0.3069983155340762,0.30721395791721645,0.18762273503144603,0.5233102756782724,0.3706901482277171,0.43657557809802366,0.28979986670805247,0.5421765542513616,0.37988051071360307,0.6424611198472547,0.42697652917114093,0.286431627415067,0.36946258085559425,0.23477626473328664,0.32340205911720377,0.2103696594069628,0.47833313350733236,0.3255908953950559,0.5367083390839666,0.37498968893246687,0.6838354712767567
6,0.0009914704101679243,0.46839788507770846,0.31966459018153115,0.34282912680275623,0.2135818527171451,0.5365019751695934,0.3814809421631165,0.4483416345641688,0.2998685859454175,0.5459188016819533,0.3837269790202119,0.631030600027995,0.49542662587097225,0.3445582398407751,0.39353035985352114,0.2538562813144001,0.5851009527771225,0.42881983078237185,0.44991875687788285,0.30448427838574854,0.5531564309871454,0.39107257390408207,0.6004948125039931
7,0.0009764491226669084,0.4741029863690471,0.3252873988301904,0.3640875187991979,0.22983084577261959,0.533926296784157,0.38302232865816044,0.4464989879734927,0.2990419305412128,0.551899146765202,0.38925449080295393,0.6268983389343228,0.5032208707692812,0.3508418525080029,0.406972952830282,0.2650445576408835,0.5432048985139765,0.391630305163377,0.4854509944645621,0.33207331560284115,0.5772546353957636,0.4146192401861973,0.6024314553188763
8,0.0009542091418769196,0.4757345240395348,0.32632379561394187,0.36570021374453543,0.23126365316839148,0.5343320121032219,0.38192624183926005,0.45050190568289206,0.3016902734420633,0.5524039662015197,0.3904150135538264,0.6242260319692594,0.49466863692664415,0.34299335119535596,0.39702233069128173,0.2587668022891355,0.5368893353307056,0.3852343226851261,0.49579206052765573,0.34046710444708095,0.5489708288110418,0.38750518097294323,0.6195875410553363
9,0.0009250876032365459,0.4820959285572842,0.33130480308790466,0.3732558378146486,0.23731185148915743,0.5400453524362094,0.38576176402680235,0.45893147050797517,0.30820143882286016,0.5561510541149088,0.3939441574989138,0.6190463754507872,0.5101378386398013,0.356820124301979,0.4104161125560962,0.26841895792821646,0.5746680644990914,0.41761184623131786,0.4830045849352861,0.3312905079169239,0.5724625945520058,0.4099591833492406,0.5928076456347815
10,0.0008895259595867134,0.485424329085393,0.3346576148593748,0.3801719824557003,0.24257534218088228,0.5406619593635438,0.38733470942322673,0.4590046241610995,0.30911034457469655,0.5618587518597509,0.3996100665951097,0.6155256772363508,0.5267401052464684,0.3729897584203336,0.42756185718149387,0.2834271287425024,0.6068325256326513,0.45269420596932314,0.4930313245373235,0.3392004823352364,0.5795347162073464,0.41663721353887656,0.5796975778590003
