epoch,lr,train_dice_mean,train_iou_mean,train_dice_Fish,train_iou_Fish,train_dice_Flower,train_iou_Flower,train_dice_Gravel,train_iou_Gravel,train_dice_Sugar,train_iou_Sugar,train_loss,val_dice_mean,val_iou_mean,val_dice_Fish,val_iou_Fish,val_dice_Flower,val_iou_Flower,val_dice_Gravel,val_iou_Gravel,val_dice_Sugar,val_iou_Sugar,val_loss
1,0.00020536090239104733,0.39561244807801804,0.26280859786647937,0.19788056998834758,0.11559029920499854,0.46494932758312435,0.31868705181489854,0.414403366133037,0.2705985666865197,0.5052165310930561,0.34635847236054973,0.7233878483643403,0.39270991966021146,0.27201861132391925,0.03453462453165034,0.01795311702325805,0.5116482724125921,0.3598975352010123,0.48623602069485533,0.332847383710817,0.5384207640191634,0.37737640727766986,0.6555461107398108
2,0.00047210618844127476,0.441314166139912,0.2986727697892232,0.27387136752012436,0.1638951949792631,0.5177244034425297,0.36561622471591876,0.4337785071248683,0.28695058921133965,0.5398823899728757,0.3782290694547129,0.6439392291747772,0.4574183169886363,0.314979700947837,0.2398915817967897,0.14056279248744916,0.563336282325324,0.4076361237563002,0.46835245539119347,0.31644704998906353,0.5580929522034076,0.3952728299785861,0.631613552570343
3,0.0007753268623870819,0.4638785745109524,0.3169201230143642,0.31952129778104316,0.19616543376471973,0.5387500442059099,0.3842310186897256,0.4439238105287069,0.29669412576964965,0.5533191427185729,0.39058991386009767,0.6293222585776904,0.45030838787126887,0.3100144469695126,0.24061688755999375,0.14386898758340794,0.5618466987549836,0.4085481368180023,0.4526111494026167,0.30279121409914045,0.5461588139585454,0.3848494494990479,0.6300812196388519
4,0.0009730335738704613,0.4815636359356545,0.3310708823504749,0.36061885874946886,0.22650477659127363,0.5492997039545873,0.394865880886456,0.45942534562032605,0.3092454664308487,0.5569106368364783,0.39366740572123643,0.6175338112019204,0.286009095233979,0.1810562589721714,0.24664379760841837,0.148819262515329,0.2338998332195578,0.14581126817910606,0.1879968387520438,0.10917776623528336,0.47549591336747726,0.32041674021551075,0.7884240412026
5,0.0009990452969733088,0.49478367652978983,0.3423596583239667,0.3897288381449345,0.24884498665730864,0.5549717955761205,0.4014558862693484,0.4697799761997754,0.3177663376181479,0.5646540903360457,0.40137141925526093,0.6078033906919462,0.4954632524963763,0.3465153998393807,0.3870801753599063,0.249864948029039,0.5950680396506686,0.4396408199812201,0.41764183952506606,0.27707460037989146,0.5820629650311504,0.4194812290638471,0.5977547880556944
6,0.0009914704101679243,0.504688514675106,0.35170935902509604,0.3988472085227992,0.25618177834848094,0.5694760285385141,0.41528217932126676,0.47703328977700427,0.32484330526880995,0.5733975266332965,0.41053017152657917,0.5979499216015275,0.48389650634724457,0.33893645999671745,0.33882575469233567,0.21422506089109195,0.6062308344052334,0.45030123630555396,0.41059865472565016,0.2739954634785098,0.5799307798524554,0.41722408022811946,0.5995547758589546
7,0.0009764491226669084,0.5075043426977621,0.3540826389649967,0.41184494657492604,0.2668986724437923,0.5737828523189198,0.41852906039572974,0.47128436455738565,0.3205891069171684,0.5731052080924447,0.4103137158394397,0.5938334649210577,0.50965596510352,0.35785993494147017,0.4138304383339938,0.27300995030849917,0.6150529071263651,0.4609285181844329,0.5017113604669948,0.34619665676526884,0.5080291393008619,0.3513046135747363,0.5934381403511376
8,0.0009542091418769196,0.5134529540667663,0.3599416539207235,0.41848662626124544,0.27342322143508335,0.5706922075451241,0.4181734109154908,0.4895949086627486,0.33587469241439627,0.5750380732454695,0.4122952892168148,0.5899308786198899,0.4612321585631199,0.31621104886205936,0.42467666540643834,0.28022463001954584,0.36706108583833325,0.24181550946942437,0.48656636554071103,0.337394379536628,0.5666245232811935,0.405409675171907,0.6161194947554911
9,0.0009250876032365459,0.518392761655756,0.36468206649428014,0.42555881539519536,0.2792372992115457,0.5779331601887757,0.42465469940557976,0.4901310930640033,0.33771250261159874,0.579947980432897,0.4171237625383042,0.583405223784146,0.5207623324805885,0.36968162473585964,0.39331507425514484,0.25603134417236817,0.6132995029576749,0.45822412874419205,0.4864182170989745,0.336831768679859,0.5900165380762635,0.4276392596552698,0.5791928937538064
10,0.0008895259595867134,0.5251310414559133,0.37087539007534853,0.43264816319153393,0.28542210240517024,0.5802252244170865,0.4276944622263322,0.49830257110250586,0.3439137603512014,0.5893482069711428,0.42647123790539065,0.5771620800366273,0.46981064578612075,0.3261501894151564,0.4370831493422335,0.290788328529696,0.5297370158160887,0.3790914887721393,0.3266694934690758,0.21161377615728966,0.5857529307869699,0.42310716533403603,0.6066946824677557
